fila_csv,conjunto
0,entrenamiento
1,entrenamiento
2,entrenamiento
3,validacion
4,entrenamiento
5,entrenamiento
6,validacion
7,entrenamiento
8,entrenamiento
9,entrenamiento
10,validacion
11,entrenamiento
12,validacion
13,entrenamiento
14,entrenamiento
15,entrenamiento
16,entrenamiento
17,prueba
18,entrenamiento
19,entrenamiento
20,validacion
21,validacion
22,prueba
23,entrenamiento
24,prueba
25,entrenamiento
26,prueba
27,entrenamiento
28,validacion
29,validacion
30,entrenamiento
31,prueba
32,entrenamiento
33,entrenamiento
34,entrenamiento
35,entrenamiento
36,entrenamiento
37,prueba
38,entrenamiento
39,entrenamiento
40,prueba
41,entrenamiento
42,entrenamiento
43,entrenamiento
44,entrenamiento
45,entrenamiento
46,prueba
47,validacion
48,validacion
49,validacion
50,entrenamiento
51,validacion
52,entrenamiento
53,entrenamiento
54,entrenamiento
55,prueba
56,entrenamiento
57,entrenamiento
58,prueba
59,entrenamiento
60,prueba
61,entrenamiento
62,validacion
63,prueba
64,validacion
65,entrenamiento
66,entrenamiento
67,entrenamiento
68,validacion
69,prueba
70,validacion
71,entrenamiento
72,entrenamiento
73,entrenamiento
74,entrenamiento
75,validacion
76,entrenamiento
77,entrenamiento
78,entrenamiento
79,prueba
80,entrenamiento
81,entrenamiento
82,entrenamiento
83,entrenamiento
84,validacion
85,prueba
86,validacion
87,prueba
88,entrenamiento
89,validacion
90,prueba
91,entrenamiento
92,entrenamiento
93,prueba
94,entrenamiento
95,entrenamiento
96,entrenamiento
97,entrenamiento
98,entrenamiento
99,entrenamiento
100,entrenamiento
101,entrenamiento
102,prueba
103,entrenamiento
104,entrenamiento
105,validacion
106,entrenamiento
107,prueba
108,entrenamiento
109,validacion
110,entrenamiento
111,entrenamiento
112,entrenamiento
113,prueba
114,entrenamiento
115,entrenamiento
116,entrenamiento
117,validacion
118,validacion
119,entrenamiento
120,entrenamiento
121,validacion
122,entrenamiento
123,validacion
124,entrenamiento
125,entrenamiento
126,entrenamiento
127,prueba
128,entrenamiento
129,validacion
130,entrenamiento
131,prueba
132,entrenamiento
133,prueba
134,prueba
135,entrenamiento
136,prueba
137,entrenamiento
138,entrenamiento
139,entrenamiento
140,entrenamiento
141,entrenamiento
142,entrenamiento
143,entrenamiento
144,entrenamiento
145,entrenamiento
146,entrenamiento
147,entrenamiento
148,validacion
149,entrenamiento
150,entrenamiento
151,prueba
152,validacion
153,entrenamiento
154,validacion
155,entrenamiento
156,entrenamiento
157,entrenamiento
158,validacion
159,prueba
160,entrenamiento
161,entrenamiento
162,entrenamiento
163,entrenamiento
164,entrenamiento
165,prueba
166,entrenamiento
167,prueba
168,entrenamiento
169,entrenamiento
170,entrenamiento
171,entrenamiento
172,validacion
173,entrenamiento
174,entrenamiento
175,entrenamiento
176,entrenamiento
177,entrenamiento
178,validacion
179,prueba
180,entrenamiento
181,entrenamiento
182,entrenamiento
183,validacion
184,entrenamiento
185,entrenamiento
186,entrenamiento
187,prueba
188,entrenamiento
189,entrenamiento
190,entrenamiento
191,validacion
192,prueba
193,entrenamiento
194,entrenamiento
195,entrenamiento
196,prueba
197,entrenamiento
198,entrenamiento
199,entrenamiento
200,entrenamiento
201,prueba
202,validacion
203,entrenamiento
204,entrenamiento
205,entrenamiento
206,validacion
207,entrenamiento
208,entrenamiento
209,entrenamiento
210,entrenamiento
211,prueba
212,entrenamiento
213,entrenamiento
214,entrenamiento
215,entrenamiento
216,entrenamiento
217,prueba
218,entrenamiento
219,entrenamiento
220,validacion
221,prueba
222,entrenamiento
223,entrenamiento
224,prueba
225,validacion
226,validacion
227,entrenamiento
228,validacion
229,entrenamiento
230,entrenamiento
231,entrenamiento
232,entrenamiento
233,entrenamiento
234,entrenamiento
235,validacion
236,entrenamiento
237,validacion
238,validacion
239,prueba
240,entrenamiento
241,entrenamiento
242,validacion
243,entrenamiento
244,entrenamiento
245,entrenamiento
246,entrenamiento
247,prueba
248,entrenamiento
249,entrenamiento
250,entrenamiento
251,entrenamiento
252,entrenamiento
253,entrenamiento
254,prueba
255,entrenamiento
256,validacion
257,entrenamiento
258,entrenamiento
259,prueba
260,entrenamiento
261,validacion
262,entrenamiento
263,entrenamiento
264,validacion
265,entrenamiento
266,entrenamiento
267,prueba
268,prueba
269,entrenamiento
270,entrenamiento
271,entrenamiento
272,entrenamiento
273,entrenamiento
274,entrenamiento
275,validacion
276,entrenamiento
277,entrenamiento
278,prueba
279,entrenamiento
280,prueba
281,entrenamiento
282,entrenamiento
283,prueba
284,validacion
285,entrenamiento
286,entrenamiento
287,prueba
288,validacion
289,entrenamiento
290,prueba
291,entrenamiento
292,entrenamiento
293,validacion
294,prueba
295,prueba
296,validacion
297,prueba
298,entrenamiento
299,validacion
300,validacion
301,prueba
302,entrenamiento
303,prueba
304,prueba
305,prueba
306,entrenamiento
307,prueba
308,prueba
309,entrenamiento
310,entrenamiento
311,entrenamiento
312,entrenamiento
313,entrenamiento
314,entrenamiento
315,entrenamiento
316,prueba
317,entrenamiento
318,entrenamiento
319,validacion
320,entrenamiento
321,entrenamiento
322,entrenamiento
323,validacion
324,entrenamiento
325,entrenamiento
326,entrenamiento
327,entrenamiento
328,prueba
329,prueba
330,validacion
331,prueba
332,prueba
333,entrenamiento
334,prueba
335,prueba
336,validacion
337,prueba
338,entrenamiento
339,prueba
340,entrenamiento
341,entrenamiento
342,validacion
343,prueba
344,prueba
345,prueba
346,prueba
347,entrenamiento
348,prueba
349,entrenamiento
350,entrenamiento
351,prueba
352,entrenamiento
353,prueba
354,entrenamiento
355,entrenamiento
356,prueba
357,entrenamiento
358,entrenamiento
359,prueba
360,entrenamiento
361,entrenamiento
362,entrenamiento
363,entrenamiento
364,entrenamiento
365,prueba
366,prueba
367,validacion
368,entrenamiento
369,entrenamiento
370,entrenamiento
371,validacion
372,entrenamiento
373,prueba
374,prueba
375,entrenamiento
376,entrenamiento
377,entrenamiento
378,prueba
379,entrenamiento
380,entrenamiento
381,entrenamiento
382,entrenamiento
383,entrenamiento
384,entrenamiento
385,entrenamiento
386,validacion
387,entrenamiento
388,entrenamiento
389,entrenamiento
390,entrenamiento
391,entrenamiento
392,entrenamiento
393,validacion
394,entrenamiento
395,entrenamiento
396,prueba
397,entrenamiento
398,entrenamiento
399,entrenamiento
400,entrenamiento
401,entrenamiento
402,entrenamiento
403,entrenamiento
404,prueba
405,entrenamiento
406,entrenamiento
407,entrenamiento
408,entrenamiento
409,validacion
410,prueba
411,entrenamiento
412,prueba
413,prueba
414,prueba
415,validacion
416,entrenamiento
417,entrenamiento
418,entrenamiento
419,prueba
420,entrenamiento
421,entrenamiento
422,entrenamiento
423,validacion
424,entrenamiento
425,validacion
426,validacion
427,prueba
428,entrenamiento
429,entrenamiento
430,prueba
431,validacion
432,entrenamiento
433,entrenamiento
434,entrenamiento
435,entrenamiento
436,prueba
437,prueba
438,entrenamiento
439,entrenamiento
440,entrenamiento
441,entrenamiento
442,validacion
443,validacion
444,entrenamiento
445,entrenamiento
446,validacion
447,entrenamiento
448,entrenamiento
449,validacion
450,entrenamiento
